delivery_id,factory_id,project_id,distance_km,expected_time_hours,actual_time_hours,delay_flag,date,project_lat,project_lon,demand,priority_level,factory_lat,factory_lon,base_production_per_week,production_variability,max_storage,weather_index,traffic_index,delay_hours,computed_distance,weather_distance,traffic_distance,priority_encoded,day_of_week,is_weekend
D21,F3,P187,282.61,7.07,13.77,1,2026-04-02,16.607396602064675,77.85318204239712,1,Medium,18.92940916619948,76.80892009394567,43,0.15,6,0.95,0.78,6.699999999999999,280.8742981304864,268.4795,220.43580000000003,2,3,0
D22,F5,P99,146.91,3.67,5.55,1,2026-04-06,13.407402021418765,72.14460290892417,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.55,0.71,1.88,143.14384561189868,80.8005,104.30609999999999,1,0,0
D23,F2,P166,484.93,12.12,19.52,1,2026-04-14,14.087148986733713,72.12243632232308,1,Low,16.774801263571895,75.56666202282872,42,0.06,6,0.88,0.24,7.4,474.9416672209675,426.7384,116.3832,1,1,0
D24,F5,P31,780.71,19.52,32.67,1,2026-04-09,19.410407028106796,77.20861620401556,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.84,0.43,13.150000000000002,773.0598691712098,655.7964000000001,335.7053,3,3,0
D25,F4,P198,590.5,14.76,22.79,1,2026-04-29,17.414159235394425,75.86016759714114,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.04,0.92,8.03,588.9562025950372,23.62,543.26,3,2,0
D26,F1,P48,534.63,13.37,21.55,1,2026-04-14,19.04374271212206,76.99483238507034,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.88,0.24,8.180000000000001,528.7418841641218,470.4744,128.31119999999999,3,1,0
D27,F1,P143,225.45,5.64,10.63,1,2026-04-06,15.290831240453429,77.59609768613755,1,Low,14.9963209507789,79.60571445127933,30,0.17,6,0.55,0.71,4.990000000000001,218.1701480160398,123.9975,160.06949999999998,1,0,0
D28,F1,P166,836.75,20.92,32.44,1,2026-04-01,14.087148986733713,72.12243632232308,1,Low,14.9963209507789,79.60571445127933,30,0.17,6,0.55,0.21,11.519999999999996,811.7198910242375,460.21250000000003,175.7175,1,2,0
D29,F2,P6,343.61,8.59,12.12,1,2026-04-20,19.865847086454306,75.73410314598384,1,Medium,16.774801263571895,75.56666202282872,42,0.06,6,0.25,0.41,3.5299999999999994,344.16262498611525,85.9025,140.8801,2,0,0
D30,F3,P11,648.45,16.21,24.07,1,2026-04-10,13.847150604977193,73.92820372820809,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.22,0.4,7.859999999999999,643.2107953584697,142.65900000000002,259.38000000000005,3,4,0
D31,F5,P99,146.91,3.67,6.61,1,2026-04-03,13.407402021418765,72.14460290892417,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.11,0.93,2.9400000000000004,143.14384561189868,16.1601,136.62630000000001,1,4,0
D32,F3,P96,297.4,7.44,12.93,1,2026-04-21,19.789310694042538,74.27136779789973,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.57,0.74,5.489999999999999,282.8544298765783,169.51799999999997,220.076,3,1,0
D33,F3,P89,666.18,16.65,30.8,1,2026-04-07,13.509656866731037,74.23097082073745,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.97,0.69,14.150000000000002,662.475700085675,646.1945999999999,459.66419999999994,3,1,0
D34,F2,P154,72.89,1.82,2.87,1,2026-04-03,17.106164750746803,76.13357005941253,1,Medium,16.774801263571895,75.56666202282872,42,0.06,6,0.11,0.93,1.05,70.66778954749574,8.017900000000001,67.7877,2,4,0
D35,F1,P22,454.76,11.37,17.48,1,2026-04-19,18.75627078942521,77.97856088109904,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.33,0.43,6.110000000000001,452.5044867028588,150.0708,195.5468,2,6,1
D36,F4,P70,742.25,18.56,33.5,1,2026-04-13,16.741573791035147,72.64682661066172,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.58,0.86,14.940000000000001,729.4007739831497,430.505,638.335,3,0,0
D37,F2,P136,488.6,12.21,23.49,1,2026-04-15,19.854727106484248,78.7114680165549,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.91,0.59,11.279999999999998,476.9226286243878,444.62600000000003,288.274,3,2,0
D38,F4,P96,902.65,22.57,31.71,1,2026-04-18,19.789310694042538,74.27136779789973,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.71,0.25,9.14,897.6010229137179,640.8815,225.6625,3,5,1
D39,F1,P172,429.53,10.74,20.32,1,2026-04-02,17.417346739063852,76.58693633337546,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.95,0.78,9.58,419.93959652423894,408.05349999999993,335.0334,3,3,0
D40,F4,P150,813.95,20.35,37.2,1,2026-04-15,17.507999206122932,72.46554876406755,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.91,0.59,16.85,800.7962012105212,740.6945000000001,480.2305,2,2,0
D41,F2,P160,537.43,13.44,25.1,1,2026-04-30,14.491306475130354,79.83608422897207,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.92,0.25,11.660000000000002,522.9156126367451,494.43559999999997,134.3575,3,3,0
D42,F1,P93,519.44,12.99,20.3,1,2026-04-06,19.48507995376758,78.28272520891154,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.55,0.71,7.3100000000000005,518.5123732851997,285.69200000000006,368.80240000000003,2,0,0
D43,F1,P199,777.43,19.44,40.97,1,2026-04-07,15.94420526217444,72.66627528956208,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.97,0.69,21.529999999999998,751.0630741835048,754.1071,536.4266999999999,2,1,0
D44,F5,P126,571.56,14.29,27.47,1,2026-04-15,17.671287975280947,76.42255981526326,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.91,0.59,13.18,565.686759413347,520.1196,337.2203999999999,1,2,0
D45,F3,P49,671.11,16.78,24.93,1,2026-04-05,14.365069486701712,72.84395407864217,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.06,0.74,8.149999999999999,660.218705397426,40.2666,496.6214,3,6,1
D46,F2,P14,296.96,7.42,14.24,1,2026-04-08,15.128484860585926,73.4578887023045,1,Medium,16.774801263571895,75.56666202282872,42,0.06,6,0.84,0.87,6.82,290.40875433140894,249.44639999999998,258.35519999999997,2,2,0
D47,F2,P107,167.46,4.19,6.28,1,2026-04-01,15.47515492408343,74.80062726155741,1,Low,16.774801263571895,75.56666202282872,42,0.06,6,0.55,0.21,2.09,166.07162931408297,92.10300000000001,35.1666,1,2,0
D48,F5,P2,360.13,9.0,16.3,1,2026-04-08,16.198197282067113,75.19888777372205,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.84,0.87,7.300000000000001,357.3655595332091,302.50919999999996,313.3131,1,2,0
D49,F4,P19,772.79,19.32,28.23,1,2026-04-25,19.413270926350357,77.81817596685137,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.48,0.08,8.91,774.1497865735568,370.93919999999997,61.8232,2,5,1
D50,F5,P180,477.92,11.95,18.79,1,2026-04-16,15.08317296772452,77.45290935178232,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.35,0.71,6.84,466.1076716181327,167.272,339.3232,3,3,0
D51,F1,P124,562.23,14.06,21.88,1,2026-04-17,14.36232470735151,74.58040611390881,1,Low,14.9963209507789,79.60571445127933,30,0.17,6,0.48,0.38,7.8199999999999985,545.1128297400948,269.8704,213.6474,1,4,0
D52,F5,P114,848.32,21.21,42.56,1,2026-04-04,17.981750191179312,79.62457477619162,1,Medium,13.454599737656803,73.46723607882747,31,0.14,6,0.97,1.0,21.35,829.1323157954262,822.8704,848.32,2,5,1
D53,F5,P23,478.83,11.97,16.03,1,2026-04-28,16.317537059112638,76.69400932531079,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.56,0.32,4.0600000000000005,470.6934389029394,268.14480000000003,153.2256,3,1,0
D54,F5,P88,705.19,17.63,24.18,1,2026-04-11,16.46634762885678,79.06109074551472,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.89,0.15,6.550000000000001,687.8535352331467,627.6191,105.77850000000001,3,5,1
D55,F5,P154,501.88,12.55,22.68,1,2026-04-06,17.106164750746803,76.13357005941253,1,Medium,13.454599737656803,73.46723607882747,31,0.14,6,0.55,0.71,10.129999999999999,496.6152952414773,276.034,356.3348,2,0,0
D56,F1,P192,523.01,13.08,24.48,1,2026-04-02,13.905889219231836,75.02183108941036,1,Low,14.9963209507789,79.60571445127933,30,0.17,6,0.95,0.78,11.4,508.2361774817074,496.85949999999997,407.94780000000003,1,3,0
D57,F5,P115,353.65,8.84,12.89,1,2026-04-03,14.64600243736411,76.42211973468392,1,Medium,13.454599737656803,73.46723607882747,31,0.14,6,0.11,0.93,4.050000000000001,345.1649227413939,38.9015,328.8945,2,4,0
D58,F4,P189,482.94,12.07,17.45,1,2026-04-28,16.644352098751277,78.93693285767777,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.56,0.32,5.379999999999999,482.69122231276174,270.44640000000004,154.5408,3,1,0
D59,F5,P188,76.22,1.91,3.03,1,2026-04-28,13.021517835379726,74.00013159372884,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.56,0.32,1.1199999999999999,75.14047827781489,42.68320000000001,24.3904,3,1,0
D60,F2,P160,537.43,13.44,26.13,1,2026-04-13,14.491306475130354,79.83608422897207,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.58,0.86,12.69,522.9156126367451,311.70939999999996,462.18979999999993,3,0,0
D61,F1,P106,107.22,2.68,5.07,1,2026-04-27,15.89393722367564,79.24879030174843,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.8,0.98,2.39,106.89016713419852,85.77600000000001,105.0756,2,0,0
D62,F4,P90,582.44,14.56,21.82,1,2026-04-06,17.60286263978217,78.77328913790645,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.55,0.71,7.26,582.7468824131169,320.34200000000004,413.5324,2,0,0
D63,F1,P110,354.04,8.85,12.14,1,2026-04-17,15.99354703907802,76.57603359367346,1,Low,14.9963209507789,79.60571445127933,30,0.17,6,0.48,0.38,3.290000000000001,343.04867653994415,169.9392,134.5352,1,4,0
D64,F4,P134,342.16,8.55,18.78,1,2026-04-08,15.507792984144697,77.3762090823616,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.84,0.87,10.23,342.5931711705588,287.4144,297.67920000000004,2,2,0
D65,F1,P142,789.56,19.74,31.71,1,2026-04-26,18.73618460009585,73.55504027195899,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.53,0.44,11.970000000000002,766.3381406355343,418.4668,347.40639999999996,2,6,1
D66,F4,P84,717.19,17.93,26.31,1,2026-04-14,17.566275194760657,73.8284001743784,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.88,0.24,8.379999999999999,709.292004810493,631.1272,172.12560000000002,2,1,0
D67,F5,P190,341.02,8.53,12.29,1,2026-04-28,16.49493353715019,73.90877487832272,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.56,0.32,3.76,341.3796073472427,190.9712,109.12639999999999,1,1,0
D68,F1,P99,846.76,21.17,37.09,1,2026-04-27,13.407402021418765,72.14460290892417,1,Low,14.9963209507789,79.60571445127933,30,0.17,6,0.8,0.98,15.920000000000002,823.3956926219906,677.408,829.8248,1,0,0
D69,F2,P28,468.57,11.71,16.17,1,2026-04-17,14.347905397744306,72.11263858172067,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.48,0.38,4.460000000000001,457.918084093852,224.9136,178.0566,3,4,0
D70,F1,P180,239.16,5.98,9.7,1,2026-04-26,15.08317296772452,77.45290935178232,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.53,0.44,3.719999999999999,231.38194877559636,126.7548,105.2304,3,6,1
D71,F1,P11,642.98,16.07,20.32,1,2026-04-12,13.847150604977193,73.92820372820809,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.51,0.23,4.25,624.5998413409112,327.9198,147.8854,3,6,1
D72,F3,P131,729.11,18.23,34.86,1,2026-04-22,12.567527335999422,75.1742706177111,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.77,0.82,16.63,728.6926424494595,561.4147,597.8702,3,2,0
D73,F2,P17,613.3,15.33,25.93,1,2026-04-14,12.250506339644469,78.73827819675999,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.88,0.24,10.6,607.9289197590898,539.704,147.19199999999998,3,1,0
D74,F5,P5,426.06,10.65,19.49,1,2026-04-04,16.9470880746647,75.05969593013731,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.97,1.0,8.839999999999998,424.2658824531045,413.27819999999997,426.06,1,5,1
D75,F5,P184,243.76,6.09,10.28,1,2026-04-07,12.31349061340517,75.34356825372463,1,Medium,13.454599737656803,73.46723607882747,31,0.14,6,0.97,0.69,4.1899999999999995,239.7164074914654,236.44719999999998,168.19439999999997,2,1,0
D76,F4,P58,693.19,17.33,30.15,1,2026-04-13,17.539488263122163,74.15529867038818,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.58,0.86,12.82,686.4561002705008,402.0502,596.1434,2,0,0
D77,F2,P163,223.11,5.58,9.0,1,2026-04-05,14.770434568715206,75.7173905035169,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.06,0.74,3.42,223.45819532367761,13.3866,165.1014,3,6,1
D78,F3,P162,204.28,5.11,7.76,1,2026-04-11,18.10691538403129,78.45530381640623,1,Low,18.92940916619948,76.80892009394567,43,0.15,6,0.89,0.15,2.6499999999999995,196.2071580540424,181.8092,30.642,1,5,1
D79,F3,P109,329.39,8.23,12.03,1,2026-04-25,18.913340520575225,73.84148214593245,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.48,0.08,3.799999999999999,312.13570037498494,158.10719999999998,26.3512,3,5,1
D80,F2,P25,314.35,7.86,11.76,1,2026-04-28,14.207993456180349,74.37018804563266,1,Low,16.774801263571895,75.56666202282872,42,0.06,6,0.56,0.32,3.8999999999999995,312.88382950002483,176.03600000000003,100.59200000000001,1,1,0
D81,F3,P169,376.91,9.42,12.95,1,2026-04-17,16.92680931511931,79.55113283648606,1,Low,18.92940916619948,76.80892009394567,43,0.15,6,0.48,0.38,3.5299999999999994,365.7040201774167,180.9168,143.22580000000002,1,4,0
D82,F3,P29,600.62,15.02,26.35,1,2026-04-16,13.59073923271044,77.6907356219892,1,Medium,18.92940916619948,76.80892009394567,43,0.15,6,0.35,0.71,11.330000000000002,601.0430923214321,210.21699999999998,426.4402,2,3,0
D83,F3,P150,507.27,12.68,28.25,1,2026-04-02,17.507999206122932,72.46554876406755,1,Medium,18.92940916619948,76.80892009394567,43,0.15,6,0.95,0.78,15.57,485.1890142830405,481.90649999999994,395.6706,2,3,0
D84,F2,P130,225.08,5.63,11.1,1,2026-04-02,17.023155319589087,73.55419162809633,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.95,0.78,5.47,215.8859678371625,213.826,175.56240000000003,3,3,0
D85,F1,P59,704.38,17.61,26.2,1,2026-04-11,13.953004177982194,73.34632833738344,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.89,0.15,8.59,683.8001600362309,626.8982,105.657,2,5,1
D86,F3,P94,176.04,4.4,7.05,1,2026-04-01,17.351906037713828,76.64549297149163,1,Low,18.92940916619948,76.80892009394567,43,0.15,6,0.55,0.21,2.6499999999999995,176.25828481001324,96.822,36.968399999999995,1,2,0
D87,F5,P55,220.2,5.5,6.66,1,2026-04-10,12.004163015962526,74.82055085067336,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.22,0.4,1.1600000000000001,218.07233715376515,48.443999999999996,88.08,3,4,0
D88,F1,P88,174.01,4.35,6.38,1,2026-04-16,16.46634762885678,79.06109074551472,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.35,0.71,2.0300000000000002,173.54142344540801,60.903499999999994,123.54709999999999,3,3,0
D89,F5,P193,418.7,10.47,19.85,1,2026-04-02,16.274619788244507,75.97248952546462,1,Medium,13.454599737656803,73.46723607882747,31,0.14,6,0.95,0.78,9.38,413.2842668740819,397.765,326.586,2,3,0
D90,F3,P11,648.45,16.21,27.36,1,2026-04-21,13.847150604977193,73.92820372820809,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.57,0.74,11.149999999999999,643.2107953584697,369.6165,479.853,3,1,0
D91,F4,P138,372.16,9.3,15.69,1,2026-04-18,12.310677875435385,74.42612411738578,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.71,0.25,6.389999999999999,364.1586731580022,264.2336,93.04,2,5,1
D92,F5,P15,552.7,13.82,23.01,1,2026-04-06,18.04289128254122,75.40124699592995,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.55,0.71,9.190000000000001,550.5547044078745,303.98500000000007,392.41700000000003,3,0,0
D93,F1,P153,170.81,4.27,8.62,1,2026-04-23,13.46292797685846,79.47691197871768,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.74,0.68,4.35,171.06972035285568,126.3994,116.1508,3,3,0
D94,F5,P162,757.12,18.93,23.49,1,2026-04-10,18.10691538403129,78.45530381640623,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.22,0.4,4.559999999999999,743.1605756868214,166.56640000000002,302.848,1,4,0
D95,F4,P193,469.24,11.73,21.03,1,2026-04-21,16.274619788244507,75.97248952546462,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.57,0.74,9.3,467.40139651678254,267.4668,347.2376,2,1,0
D96,F1,P80,702.76,17.57,27.45,1,2026-04-24,19.524186115916837,75.18057616870018,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.24,0.4,9.879999999999999,688.5712774539896,168.6624,281.104,2,4,0
D97,F3,P40,739.68,18.49,28.51,1,2026-04-18,12.32346871630745,77.6853031174863,1,Low,18.92940916619948,76.80892009394567,43,0.15,6,0.71,0.25,10.020000000000003,740.5097373534495,525.1727999999999,184.92,1,5,1
D98,F5,P9,754.79,18.87,32.36,1,2026-04-13,19.537614045478826,76.50630574276431,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.58,0.86,13.489999999999998,749.9196843248034,437.77819999999997,649.1193999999999,1,0,0
D99,F4,P148,507.71,12.69,26.44,1,2026-04-08,14.00688421877329,73.47466939465096,1,Low,12.451292632216802,77.77599017813459,49,0.08,6,0.84,0.87,13.750000000000002,496.66456751289445,426.47639999999996,441.7077,1,2,0
D100,F4,P48,736.88,18.42,36.8,1,2026-04-02,19.04374271212206,76.99483238507034,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.95,0.78,18.379999999999995,737.7922564131899,700.036,574.7664,3,3,0
D101,F3,P174,46.06,1.15,2.05,1,2026-04-09,18.56511580595164,77.00751736081259,1,Medium,18.92940916619948,76.80892009394567,43,0.15,6,0.84,0.43,0.8999999999999999,45.58671243085496,38.690400000000004,19.8058,2,3,0
D102,F1,P138,647.62,16.19,27.09,1,2026-04-08,12.310677875435385,74.42612411738578,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.84,0.87,10.899999999999999,634.2943352991063,544.0008,563.4294,2,2,0
D103,F4,P153,219.67,5.49,11.62,1,2026-04-22,13.46292797685846,79.47691197871768,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.77,0.82,6.129999999999999,215.92997914278885,169.14589999999998,180.12939999999998,3,2,0
D104,F2,P64,631.66,15.79,24.5,1,2026-04-12,13.184695439627198,79.98192388039153,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.51,0.23,8.71,619.8368652934344,322.1466,145.2818,3,6,1
D105,F1,P137,757.0,18.92,27.08,1,2026-04-01,18.8832369464934,74.00201088412692,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.55,0.21,8.159999999999997,736.1386340022128,416.35,158.97,3,2,0
D106,F2,P102,164.65,4.12,6.04,1,2026-04-01,17.767519394017036,74.46448633481911,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.55,0.21,1.92,160.87421829840983,90.5575,34.5765,3,2,0
D107,F1,P57,437.29,10.93,16.89,1,2026-04-16,16.272715355003534,75.87863977087187,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.35,0.71,5.960000000000001,423.56900353691196,153.0515,310.4759,2,3,0
D108,F5,P62,85.29,2.13,3.99,1,2026-04-22,14.031323311474758,73.9750085027088,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.77,0.82,1.8600000000000003,84.38287412535428,65.67330000000001,69.9378,1,2,0
D109,F4,P65,293.29,7.33,11.51,1,2026-04-21,14.13424811420228,79.81291964666123,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.57,0.74,4.18,289.1436308841058,167.1753,217.0346,3,1,0
D110,F1,P80,702.76,17.57,26.02,1,2026-04-18,19.524186115916837,75.18057616870018,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.71,0.25,8.45,688.5712774539896,498.95959999999997,175.69,2,5,1
D111,F2,P71,270.95,6.77,9.95,1,2026-04-29,14.957235648491237,73.93727950621941,1,Medium,16.774801263571895,75.56666202282872,42,0.06,6,0.04,0.92,3.1799999999999997,266.86165698447525,10.838,249.274,2,2,0
D112,F5,P123,169.12,4.23,5.84,1,2026-04-16,14.869174250369312,74.03330919255791,1,Medium,13.454599737656803,73.46723607882747,31,0.14,6,0.35,0.71,1.6099999999999994,168.7182894849253,59.192,120.0752,2,3,0
D113,F2,P67,279.31,6.98,10.14,1,2026-04-01,14.760569984213465,77.0748107576109,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.55,0.21,3.16,276.05491508456686,153.62050000000002,58.6551,3,2,0
D114,F3,P119,394.4,9.86,16.54,1,2026-04-08,15.882238994210525,74.9814949367524,1,Low,18.92940916619948,76.80892009394567,43,0.15,6,0.84,0.87,6.68,390.37099609583635,331.296,343.128,1,2,0
D115,F3,P171,270.41,6.76,10.6,1,2026-04-23,17.09122877956809,78.4075943574592,1,Medium,18.92940916619948,76.80892009394567,43,0.15,6,0.74,0.68,3.84,265.24283905145177,200.10340000000002,183.87880000000004,2,3,0
D116,F3,P103,298.85,7.47,9.26,1,2026-04-10,16.340321844439195,76.07051261471008,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.22,0.4,1.79,298.33552040769575,65.747,119.54000000000002,3,4,0
D117,F4,P71,508.85,12.72,21.52,1,2026-04-26,14.957235648491237,73.93727950621941,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.53,0.44,8.799999999999999,499.5793979656778,269.69050000000004,223.894,2,6,1
D118,F4,P184,270.43,6.76,10.55,1,2026-04-18,12.31349061340517,75.34356825372463,1,Medium,12.451292632216802,77.77599017813459,49,0.08,6,0.71,0.25,3.790000000000001,264.62431372428443,192.0053,67.6075,2,5,1
